branch_id,branch_name,travel_minutes,catchment_area_km2,observed_competitor_count,observed_direct_competitor_count,observed_adjacent_competitor_count,observed_competitor_density_per_km2,observed_direct_density_per_km2,rated_competitor_count,competitor_rating_mean,competitor_rating_median,competitor_rating_weighted_by_reviews,competitor_total_reviews,competitor_data_scope,catchment_data_scope
39,Al Falah,10,34.8696,39,37,2,1.1185,1.0611,35,4.2029,4.3,4.2132,2911,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
39,Al Falah,15,108.097,51,49,2,0.4718,0.4533,46,4.087,4.25,4.166,3328,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
50,Al Jada,5,7.3439,24,23,1,3.268,3.1319,23,4.4957,4.7,4.4727,2678,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
50,Al Jada,10,65.9891,186,172,14,2.8186,2.6065,172,4.3762,4.6,4.5075,25910,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
50,Al Jada,15,217.9479,295,259,36,1.3535,1.1884,272,4.3831,4.5,4.517,41536,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
45,Al Maqta,5,13.2935,71,36,35,5.341,2.7081,58,4.5879,4.7,4.5036,6965,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
45,Al Maqta,10,67.0417,164,100,64,2.4462,1.4916,137,4.5131,4.6,4.5109,19941,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
45,Al Maqta,15,222.8768,419,293,126,1.88,1.3146,379,4.4736,4.6,4.5473,92108,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
51,Al Taif Mall,5,14.8058,88,66,22,5.9436,4.4577,77,4.2468,4.4,4.6059,7509,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
51,Al Taif Mall,10,59.8072,163,130,33,2.7254,2.1737,146,4.2356,4.3,4.5348,10941,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
51,Al Taif Mall,15,139.6888,168,134,34,1.2027,0.9593,151,4.2497,4.3,4.536,11035,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
36,Baniyas,5,11.8167,50,36,14,4.2313,3.0465,44,4.1318,4.3,4.2434,2348,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
36,Baniyas,10,102.2855,87,66,21,0.8506,0.6453,74,4.1986,4.35,4.2857,11624,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
36,Baniyas,15,339.7174,245,176,69,0.7212,0.5181,211,4.3379,4.5,4.4539,34008,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
28,City Walk,5,8.1436,20,12,8,2.4559,1.4735,20,4.565,4.65,4.7527,29501,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
28,City Walk,10,63.3815,90,58,32,1.42,0.9151,90,4.5978,4.65,4.6946,149415,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
28,City Walk,15,152.5416,262,175,87,1.7176,1.1472,250,4.5164,4.6,4.6836,233932,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
38,Delma,5,28.8073,67,50,17,2.3258,1.7357,67,4.3836,4.5,4.4939,22849,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
38,Delma,10,92.5493,212,144,68,2.2907,1.5559,202,4.4782,4.6,4.6182,112223,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
38,Delma,15,171.8725,300,197,103,1.7455,1.1462,275,4.5171,4.6,4.6348,134712,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
32,Jumeirah Park,5,9.9646,12,11,1,1.2043,1.1039,12,4.675,4.7,4.6657,3043,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
32,Jumeirah Park,10,56.2511,120,85,35,2.1333,1.5111,113,4.5929,4.7,4.642,45970,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
32,Jumeirah Park,15,187.3013,430,276,154,2.2958,1.4736,398,4.5626,4.7,4.6336,182800,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
40,Khaleej Al Arabi,5,29.4027,72,58,14,2.4488,1.9726,72,4.4319,4.6,4.6974,43552,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
40,Khaleej Al Arabi,10,81.6967,205,144,61,2.5093,1.7626,200,4.4825,4.6,4.6285,111341,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
40,Khaleej Al Arabi,15,162.5598,296,196,100,1.8209,1.2057,271,4.5107,4.6,4.6318,133887,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
41,Khalifa City A,5,9.1716,14,12,2,1.5265,1.3084,13,4.2462,4.1,4.1661,2062,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
41,Khalifa City A,10,56.4222,101,73,28,1.7901,1.2938,91,4.5341,4.6,4.5301,25019,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
41,Khalifa City A,15,203.6301,321,218,103,1.5764,1.0706,276,4.4946,4.6,4.6266,84641,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
43,Ministries Complex,5,8.3253,23,13,10,2.7626,1.5615,18,4.6944,4.8,4.5183,1910,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
43,Ministries Complex,10,70.6779,185,113,72,2.6175,1.5988,160,4.5069,4.6,4.5702,25039,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
43,Ministries Complex,15,210.5325,406,281,125,1.9284,1.3347,370,4.4827,4.6,4.5472,118790,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
29,Mirdif 35,5,8.411,39,26,13,4.6368,3.0912,33,4.4879,4.5,4.5968,9217,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
29,Mirdif 35,10,81.3171,91,66,25,1.1191,0.8116,82,4.428,4.5,4.5907,26577,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
29,Mirdif 35,15,275.7556,251,188,63,0.9102,0.6818,236,4.4161,4.5,4.6156,56858,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
44,Mohammed Bin Zayed City,5,16.2684,39,30,9,2.3973,1.8441,39,4.2538,4.5,4.5061,6322,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
44,Mohammed Bin Zayed City,10,84.3407,116,88,28,1.3754,1.0434,107,4.4056,4.6,4.5697,15187,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
44,Mohammed Bin Zayed City,15,222.5525,353,237,116,1.5861,1.0649,308,4.4101,4.5,4.472,51751,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
31,Nad Al Sheba,5,14.124,10,9,1,0.708,0.6372,9,4.5556,4.5,4.6546,2343,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
31,Nad Al Sheba,10,69.8739,76,52,24,1.0877,0.7442,71,4.4915,4.6,4.6244,15326,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
31,Nad Al Sheba,15,250.0147,163,116,47,0.652,0.464,153,4.466,4.6,4.63,38382,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
52,Noya Plaza,5,4.2488,4,2,2,0.9414,0.4707,4,4.85,4.9,4.793,142,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
52,Noya Plaza,10,27.6288,36,23,13,1.303,0.8325,29,4.4621,4.7,4.6034,7993,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
52,Noya Plaza,15,102.1934,133,100,33,1.3015,0.9785,117,4.4111,4.5,4.6903,50351,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
48,Ras Al Khaimah,5,16.9396,48,36,12,2.8336,2.1252,47,4.2191,4.3,4.284,8372,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
48,Ras Al Khaimah,10,82.1295,104,73,31,1.2663,0.8888,100,4.279,4.35,4.3543,13588,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
48,Ras Al Khaimah,15,212.073,105,73,32,0.4951,0.3442,101,4.2752,4.3,4.3519,13661,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
35,Shahama,5,11.986,35,31,4,2.9201,2.5863,30,4.19,4.3,4.293,1856,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
35,Shahama,10,61.6852,60,55,5,0.9727,0.8916,55,4.16,4.2,4.257,2533,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
35,Shahama,15,219.1695,111,90,21,0.5065,0.4106,100,4.314,4.45,4.4182,9167,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
42,Shakhbout City,5,30.6618,23,14,9,0.7501,0.4566,16,4.2062,4.3,4.3407,11117,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
42,Shakhbout City,10,129.9432,92,70,22,0.708,0.5387,79,4.1987,4.3,4.3087,17670,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
42,Shakhbout City,15,344.9102,314,248,66,0.9104,0.719,279,4.3183,4.4,4.4385,48620,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
34,Westyas Branch,5,8.7625,19,11,8,2.1683,1.2554,13,4.7077,4.8,4.7249,5487,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
34,Westyas Branch,10,40.4379,62,38,24,1.5332,0.9397,50,4.478,4.6,4.7207,44316,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
34,Westyas Branch,15,143.3483,144,107,37,1.0045,0.7464,127,4.3709,4.5,4.6865,50961,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
49,Zawaya Walk,5,21.0575,52,47,5,2.4694,2.232,43,4.1814,4.4,4.5732,6740,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
49,Zawaya Walk,10,114.6085,245,212,33,2.1377,1.8498,228,4.3855,4.5,4.5257,41827,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
49,Zawaya Walk,15,294.4264,367,311,56,1.2465,1.0563,343,4.3708,4.5,4.521,64134,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
47,Zayed International Airport,5,2.8633,0,0,0,0.0,0.0,0,,,,0,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
47,Zayed International Airport,10,26.9405,39,27,12,1.4476,1.0022,37,4.5216,4.7,4.7308,40822,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
47,Zayed International Airport,15,142.2965,249,165,84,1.7499,1.1596,214,4.4972,4.6,4.6518,71632,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled destination drive-time isochrone from OpenStreetMap road-network data; not an observed customer-origin catchment and not live-traffic based
