official_store_id,branch_name,official_address,official_city,official_latitude,official_longitude,google_match_status,google_place_id,google_name,google_address,google_latitude,google_longitude,official_to_google_distance_km,rating,review_count,business_status,primary_type,types,phone,website,google_maps_url,opening_hours,match_note,source,retrieved_at
37,Al Ain,"Villa 14, Hamdan Bin Mohammad St. , Al Markaniyah, Al Ain - Abu Dhabi",Abu Dhabi,24.2412888,55.7409794,MATCHED_KNOWN_PLACE_ID,ChIJaVP-IbGtij4REpj8CjkEfdo,Bedashing Beauty Lounge Al Ain,Villa 18 Hamdan Bin Mohammad St - Al Markaniyah - Muaifaa - Abu Dhabi - United Arab Emirates,24.2266835,55.6599794,8.3721,4.7,1325,OPERATIONAL,beauty_salon,"beauty_salon, point_of_interest, service, establishment",+971 600 560037,http://www.bedashingbeauty.com/,https://maps.google.com/?cid=15743744515401095186&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 9:00 PM,,Google Places API (New),2026-09-02T15:15:30+00:00
40,Khaleej Al Arabi,"Opposite Al Bateen Gardens, Next to Mubarak Bin Muhamad School, Khaleej Al Arabi Street, Between Al Falah and Defence Road, Abu Dhabi, UAE.",Abu Dhabi,24.4730534,54.3737489,MATCHED_NEW_SEARCH,ChIJ7Q7KjQNmXj4ROEhXBTwMTWk,Bedashing Beauty Lounge Khaleej Al Arabi,"Villa 487, Next to Mubarak Bin Muhamad School - الخالدية - غرب 17 2 - أبو ظبي - United Arab Emirates",24.458870200000003,54.3537762,2.5639,4.6,1737,OPERATIONAL,beauty_salon,"beauty_salon, spa, point_of_interest, service, establishment",+971 600 560037,http://www.bedashingbeauty.com/,https://maps.google.com/?cid=7587734399116331064&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 9:00 PM,,Google Places API (New),2026-09-02T15:15:30+00:00
41,Khalifa City A,"Villa 1, Casablanca Residence, Beside Mashreq Bank, Khalifa City A, Abu Dhabi, UAE",Abu Dhabi,24.4400318,54.5989826,MATCHED_EXISTING_PLACE_ID,ChIJew69Lv1FXj4RjK59U-COz1k,Bedashing Beauty Lounge Khalifa City A,Al Mireef St - Khalifa City - SE42 - Abu Dhabi - United Arab Emirates,24.439980499999997,54.598905599999995,0.0097,4.5,2453,OPERATIONAL,beauty_salon,"beauty_salon, nail_salon, service, point_of_interest, establishment",+971 600 560037,http://www.bedashingbeauty.com/,https://maps.google.com/?cid=6471548283679256204&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 9:00 PM,,Google Places API (New),2026-09-02T15:15:30+00:00
43,Ministries Complex,"Shop No - 3, ICT Building, Khalifa Park (Ministry Area), Beside Union National Bank, Abu Dhabi, UAE",Abu Dhabi,24.4255478,54.4694026,MATCHED_EXISTING_PLACE_ID,ChIJRfTVvZVDXj4RZZRKmMGM9cs,Bedashing Beauty Lounge Ministries Complex,"Shop No. 3, ICT Building, Khalifa Park ,Ministry Area - المنتزه - شرق 48 - أبو ظبي - United Arab Emirates",24.432147,54.4647516,0.8719,4.9,1214,OPERATIONAL,beauty_salon,"beauty_salon, service, point_of_interest, establishment",+971 600 560037,http://www.bedashingbeauty.com/,https://maps.google.com/?cid=14696807722105082981&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 9:00 PM,,Google Places API (New),2026-09-02T15:15:30+00:00
29,Mirdif 35,"Khansaheb Mirdif 35, Level 2, Unit L2 -10, Dubai, UAE",Dubai,25.232337,55.433024,MATCHED_EXISTING_PLACE_ID,ChIJJym1WZlgXz4RDU-v4mRhckE,Bedashing Beauty Lounge - Mirdif 35,"Mirdif 35, Level 2, unit L2-10, dubai - مردف - دبي - United Arab Emirates",25.2322986,55.4329599,0.0077,4.5,817,OPERATIONAL,beauty_salon,"beauty_salon, service, point_of_interest, establishment",+971 600 560037,http://bedashingbeauty.com/,https://maps.google.com/?cid=4715938845738094349&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Monday: 10:00 AM – 9:00 PM | Tuesday: 10:00 AM – 9:00 PM | Wednesday: 10:00 AM – 9:00 PM | Thursday: 10:00 AM – 9:00 PM | Friday: 10:00 AM – 9:00 PM | Saturday: 10:00 AM – 9:00 PM | Sunday: 10:00 AM – 9:00 PM,,Google Places API (New),2026-09-02T15:15:30+00:00
44,Mohammed Bin Zayed City,"Villa No: 5 69 Al Raqi St - Abu Dhabi, UAE",Abu Dhabi,24.3663809,54.5403604,MATCHED_EXISTING_PLACE_ID,ChIJ1acVeH1HXj4RSli59C2hk2k,Bedashing Beauty Lounge Mohammad Bin Zayed City,69 شارع الرَاقِي - Mohamed Bin Zayed City - Z1 - Abu Dhabi - United Arab Emirates,24.3667831,54.5403404,0.0448,4.4,831,OPERATIONAL,beauty_salon,"beauty_salon, point_of_interest, service, establishment",+971 600 560037,http://www.bedashingbeauty.com/,https://maps.google.com/?cid=7607601414310287434&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 9:00 PM,,Google Places API (New),2026-09-02T15:15:30+00:00
31,Nad Al Sheba,"Nad Al Sheba Mall, Nad Al Sheba 3 - Dubai, Shop No. L2-048 - Dubai",Dubai,25.2004324,55.3862638,MATCHED_NEW_SEARCH,ChIJR6DuRulnXz4RsewBFpNYmzQ,Bedashing Beauty Lounge Nad Al Sheba,"5959+RVJ - Nad Al Sheba - Nad Al Sheba 3 - Dubai, Shop No. L2-048 - Mall - ند الشبا - ند الشبا ٣ - دبي - United Arab Emirates",25.1595625,55.3696875,4.841,4.6,627,OPERATIONAL,beauty_salon,"beauty_salon, service, point_of_interest, establishment",+971 600 560037,https://www.bedashingbeauty.com/,https://maps.google.com/?cid=3790720900115066033&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 10:00 AM – 9:00 PM | Tuesday: 10:00 AM – 9:00 PM | Wednesday: 10:00 AM – 9:00 PM | Thursday: 10:00 AM – 9:00 PM | Friday: 10:00 AM – 9:00 PM | Saturday: 10:00 AM – 9:00 PM | Sunday: 10:00 AM – 9:00 PM,,Google Places API (New),2026-09-02T15:15:30+00:00
52,Noya Plaza,"Noya Plaza, East Yas - G 22 - Yas Island - YN7",Abu Dhabi,24.4995864,54.625432,MATCHED_EXISTING_PLACE_ID,ChIJ8ZtA3AhPXj4R9bv4hORDLjI,Bedashing Beauty Lounge Noya Plaza,"FJXG+R5 Noya Plaza, East Yas - G 22 - Yas Island - Al Dar Labour Village - Abu Dhabi - United Arab Emirates",24.4995625,54.6254375,0.0027,4.7,209,OPERATIONAL,beauty_salon,"beauty_salon, point_of_interest, service, establishment",+971 600 560037,https://www.bedashingbeauty.com/,https://maps.google.com/?cid=3615902199587585013&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Monday: 10:00 AM – 9:00 PM | Tuesday: 10:00 AM – 9:00 PM | Wednesday: 10:00 AM – 9:00 PM | Thursday: 10:00 AM – 9:00 PM | Friday: 10:00 AM – 9:00 PM | Saturday: 10:00 AM – 9:00 PM | Sunday: 10:00 AM – 9:00 PM,,Google Places API (New),2026-09-02T15:15:30+00:00
48,Ras Al Khaimah,"Villa 3, Sheikh Rashid Bin Saeed Al Maktoum Rd, Beside Al Neem City Center, Al Dhaith, Ras Al Khaimah.",Ras Al Khaimah.,25.7554573,55.9095698,MATCHED_NEW_SEARCH,ChIJSU1oGll19j4RCktPt_Pr5o0,Bedashing Beauty Lounge RAK,Villa 66 Sheikh Rashid Bin Saeed Al Maktoum Rd - Al Dhaith - Ras Al Khaimah - United Arab Emirates,25.751541,55.919871699999995,1.1199,4.6,769,OPERATIONAL,beauty_salon,"beauty_salon, point_of_interest, service, establishment",+971 600 560037,http://www.bedashingbeauty.com/,https://maps.google.com/?cid=10225119435976297226&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 9:00 PM,,Google Places API (New),2026-09-02T15:15:30+00:00
35,Shahama,"Abu Dhabi – Al Shahama Rd , Abu Dhabi",Abu Dhabi,24.4317088,54.5521412,MATCHED_KNOWN_PLACE_ID,ChIJh9wAonFPXj4R6P2_rlevv90,Bedashing Beauty Lounge,"Abu Dhabi - Al Shahama Road Deerfields Mall, Shop No 419B - الباهية - الباهية القديمة - أبو ظبي - United Arab Emirates",24.5243742,54.671896499999995,15.9075,4.6,746,OPERATIONAL,beauty_salon,"beauty_salon, service, point_of_interest, establishment",+971 600 560037,http://www.bedashingbeauty.com/,https://maps.google.com/?cid=15978682794062642664&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Monday: 10:00 AM – 10:00 PM | Tuesday: 10:00 AM – 10:00 PM | Wednesday: 10:00 AM – 10:00 PM | Thursday: 10:00 AM – 10:00 PM | Friday: 10:00 AM – 10:00 PM | Saturday: 10:00 AM – 10:00 PM | Sunday: 10:00 AM – 10:00 PM,,Google Places API (New),2026-09-02T15:15:30+00:00
42,Shakhbout City,"Bedashing Beauty Lounge, Shakhbout City 3, Abu Dhabi, UAE",Abu Dhabi,24.3481854,54.6238561,MATCHED_EXISTING_PLACE_ID,ChIJDbcz2A9tXz4RnqvVPtIP15c,Bedashing Beauty Lounge Shakhbout City,shakhbout city 3 - مدينة شخبوط - مدينة شخبوط 3 - أبو ظبي - United Arab Emirates,24.3481854,54.6238561,0.0,4.5,1267,OPERATIONAL,beauty_salon,"beauty_salon, service, point_of_interest, establishment",+971 600 560037,http://www.bedashingbeauty.com/,https://maps.google.com/?cid=10941231215391648670&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 9:00 PM,,Google Places API (New),2026-09-02T15:15:30+00:00
34,Westyas Branch,"Westyas Plaza, Yas Island, Abu Dhabi.",Abu Dhabi,24.4934495,54.5870107,MATCHED_EXISTING_PLACE_ID,ChIJURfcOI9FXj4RQMm5phqBgY8,Bedashing Beauty Lounge West Yas,West Yas Plaza - جزيرة ياس - ياس جنوب 3 04 - أبو ظبي - United Arab Emirates,24.493492399999997,54.586836899999994,0.0182,4.6,727,OPERATIONAL,beauty_salon,"beauty_salon, service, point_of_interest, establishment",+971 600 560037,http://bedashingbeauty.com/,https://maps.google.com/?cid=10340688170885695808&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Monday: 10:00 AM – 9:00 PM | Tuesday: 10:00 AM – 9:00 PM | Wednesday: 10:00 AM – 9:00 PM | Thursday: 10:00 AM – 9:00 PM | Friday: 10:00 AM – 9:00 PM | Saturday: 10:00 AM – 9:00 PM | Sunday: 10:00 AM – 9:00 PM,,Google Places API (New),2026-09-02T15:15:30+00:00
49,Zawaya Walk,Shop 32 & 33 - Zawaya Walk - University City Rd - Al Shahba - Sharjah,Sharjah,25.3306234,55.4294728,MATCHED_EXISTING_PLACE_ID,ChIJNY29cDNZXz4RT5H-KSCWfCo,Bedashing Beauty Lounge Zawaya Walk,Zawaya Walk - Shop 32 & 33 - طريق المدينة الجامعية - الشهباء - ضاحية مغيدر - الشارقة - United Arab Emirates,25.3306234,55.4294728,0.0,4.7,601,OPERATIONAL,beauty_salon,"beauty_salon, point_of_interest, service, establishment",+971 600 560037,https://www.bedashingbeauty.com/,https://maps.google.com/?cid=3061486911592763727&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Monday: 12:00 – 9:00 PM | Tuesday: 12:00 – 9:00 PM | Wednesday: 12:00 – 9:00 PM | Thursday: 12:00 – 9:00 PM | Friday: 12:00 – 9:00 PM | Saturday: 12:00 – 9:00 PM | Sunday: 12:00 – 9:00 PM,,Google Places API (New),2026-09-02T15:15:30+00:00
47,Zayed International Airport,"International Airport - Midfield Terminal, Abu Dhabi",Abu Dhabi,24.4539811,54.627391,MATCHED_EXISTING_PLACE_ID,ChIJD4c_XalPXj4RdqRn4Ir54qU,Bedashing Beauty Lounge - Zayed International Airport (AUH),Midfield Terminal - International Airport - RU2-068 - المطار - مطار زايد الدولي - أبو ظبي - United Arab Emirates,24.452771799999997,54.641142099999996,1.3984,4.9,534,OPERATIONAL,beauty_salon,"beauty_salon, service, point_of_interest, establishment",,https://www.bedashingbeauty.com/,https://maps.google.com/?cid=11953390735860409462&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,,Google Places API (New),2026-09-02T15:15:30+00:00
